bill_id,people_id,position
1893387,21374,5
1893387,21719,8
1893387,22932,6
1893387,23099,4
1893387,23128,11
1893387,23212,3
1893387,23214,2
1893387,25350,10
1893387,25359,7
1893388,18073,1
1893389,22948,1
1893390,16288,10
1893390,18065,13
1893390,21719,14
1893390,22932,7
1893390,22948,3
1893390,23137,11
1893390,23155,1
1893390,23202,5
1893390,23205,8
1893390,23210,12
1893390,23213,15
1893390,25331,6
1893390,25348,16
1893390,25353,2
1893390,25357,4
1893390,25359,9
1893391,18067,1
1893392,11611,15
1893392,14118,23
1893392,18063,11
1893392,18069,13
1893392,18073,9
1893392,18075,17
1893392,18079,3
1893392,19459,8
1893392,19720,2
1893392,19733,25
1893392,21718,12
1893392,21723,31
1893392,21728,20
1893392,23203,6
1893392,23211,22
1893392,23212,10
1893392,23214,21
1893392,23215,1
1893392,23219,26
1893392,23222,27
1893392,23225,7
1893392,23906,30
1893392,25336,14
1893392,25337,4
1893392,25339,16
1893392,25342,18
1893392,25343,5
1893392,25347,24
1893392,25352,28
1893392,25355,19
1893392,25358,29
1893393,18067,1
1893393,22918,5
1893393,22948,6
1893393,23217,8
1893393,23221,7
1893393,25341,2
1893393,25344,9
1893393,25349,10
1893393,25351,11
1893393,25354,3
1893393,25356,4
1893394,22948,1
1893395,19716,1
1893396,16288,5
1893396,22918,11
1893396,22932,3
1893396,22948,2
1893396,23128,12
1893396,23155,1
1893396,23210,6
1893396,23230,10
1893396,25344,7
1893396,25349,9
1893396,25357,8
1893396,25359,4
1893397,23220,1
1893398,18067,1
1893399,21723,1
1893400,23216,1
1893401,18078,2
1893401,23215,1
1893401,23906,4
1893401,25344,3
1893402,16288,5
1893402,22918,11
1893402,22932,3
1893402,22948,2
1893402,23128,12
1893402,23155,1
1893402,23210,6
1893402,23230,10
1893402,25344,7
1893402,25349,9
1893402,25357,8
1893402,25359,4
1893403,25346,1
1893404,16288,3
1893404,22918,7
1893404,22932,1
1893404,22948,2
1893404,23128,8
1893404,23155,5
1893404,23210,4
1893404,23230,6
1893405,18067,1
1893406,14118,1
1893407,14118,11
1893407,16288,7
1893407,19717,4
1893407,19720,12
1893407,21717,3
1893407,21723,15
1893407,22932,5
1893407,23152,2
1893407,23208,9
1893407,23210,10
1893407,23212,6
1893407,23220,14
1893407,23223,1
1893407,25335,16
1893407,25340,8
1893407,25350,13
1893408,23210,1
1893409,14118,1
1893410,14116,41
1893410,14118,48
1893410,16288,26
1893410,16291,30
1893410,16293,34
1893410,18065,32
1893410,18066,17
1893410,18067,3
1893410,18069,22
1893410,18073,8
1893410,18078,9
1893410,19459,5
1893410,19658,24
1893410,19717,10
1893410,19719,47
1893410,19720,49
1893410,19721,51
1893410,19723,64
1893410,21717,7
1893410,21718,18
1893410,21719,35
1893410,21723,63
1893410,22932,12
1893410,22948,11
1893410,23099,23
1893410,23128,65
1893410,23137,27
1893410,23155,39
1893410,23202,2
1893410,23203,4
1893410,23204,6
1893410,23206,19
1893410,23208,29
1893410,23210,1
1893410,23212,14
1893410,23213,36
1893410,23214,43
1893410,23215,44
1893410,23217,46
1893410,23218,53
1893410,23219,54
1893410,23220,58
1893410,23221,42
1893410,23222,60
1893410,23223,62
1893410,23224,66
1893410,25332,13
1893410,25333,15
1893410,25335,67
1893410,25336,25
1893410,25337,31
1893410,25338,38
1893410,25340,28
1893410,25341,33
1893410,25342,37
1893410,25343,45
1893410,25344,50
1893410,25345,16
1893410,25346,40
1893410,25347,52
1893410,25348,55
1893410,25349,56
1893410,25350,57
1893410,25351,59
1893410,25352,61
1893410,25359,20
1893410,26421,21
1893411,23221,1
1893412,23221,1
1893413,23221,1
1893414,23210,1
1893415,23215,1
1893416,19721,1
1893417,19721,1
1893418,23207,1
1893419,23206,1
1893420,14116,45
1893420,14118,54
1893420,16287,25
1893420,16288,27
1893420,16291,33
1893420,16293,38
1893420,18065,36
1893420,18067,3
1893420,18069,22
1893420,18073,10
1893420,18078,11
1893420,19459,6
1893420,19658,24
1893420,19716,8
1893420,19717,12
1893420,19719,53
1893420,19720,55
1893420,19721,57
1893420,19723,68
1893420,21717,9
1893420,21719,39
1893420,21723,67
1893420,22932,14
1893420,22948,13
1893420,23099,23
1893420,23128,69
1893420,23137,29
1893420,23155,43
1893420,23202,2
1893420,23203,5
1893420,23204,7
1893420,23205,1
1893420,23206,19
1893420,23207,21
1893420,23208,31
1893420,23209,32
1893420,23210,34
1893420,23211,51
1893420,23212,16
1893420,23213,40
1893420,23214,47
1893420,23215,48
1893420,23216,49
1893420,23217,52
1893420,23219,59
1893420,23221,46
1893420,23222,63
1893420,23223,65
1893420,23224,70
1893420,23906,66
1893420,25331,4
1893420,25332,15
1893420,25333,17
1893420,25334,18
1893420,25335,71
1893420,25336,26
1893420,25337,35
1893420,25338,42
1893420,25339,28
1893420,25340,30
1893420,25341,37
1893420,25342,41
1893420,25343,50
1893420,25344,56
1893420,25346,44
1893420,25347,58
1893420,25348,60
1893420,25350,61
1893420,25351,62
1893420,25352,64
1893420,25359,20
1893421,16221,6
1893421,16293,7
1893421,21440,3
1893421,21718,4
1893421,21720,1
1893421,21728,8
1893421,23203,2
1893421,23218,9
1893421,25334,5
1893421,25358,10
1893422,23229,1
1893423,23226,1
1893424,19726,7
1893424,21374,1
1893424,22654,4
1893424,22948,3
1893424,23212,5
1893424,23214,11
1893424,23228,10
1893424,23229,12
1893424,25336,8
1893424,25338,9
1893424,25345,6
1893424,25350,14
1893424,25353,2
1893424,25356,13
1893425,11611,1
1893426,23227,1
1893427,18075,2
1893427,19733,3
1893427,23227,1
1893428,23227,1
1893429,11611,1
1893429,19727,4
1893429,21720,5
1893429,21728,2
1893429,25358,3
1893430,19733,1
1893431,1551,5
1893431,18073,2
1893431,18078,4
1893431,19733,1
1893431,23227,3
1893432,1551,6
1893432,11611,5
1893432,16221,1
1893432,18063,3
1893432,21440,4
1893432,21720,8
1893432,21728,7
1893432,23225,2
1893432,25358,9
1893433,23228,1
1893433,25345,2
1893434,19726,1
1893435,21726,1
1893436,11611,1
1893436,16221,9
1893436,18063,4
1893436,19727,8
1893436,21440,5
1893436,21720,12
1893436,21728,11
1893436,23203,3
1893436,23209,7
1893436,23906,13
1893436,25339,6
1893436,25342,10
1893436,25358,2
1893437,25355,1
1893438,19728,1
1893439,18065,2
1893439,19728,1
1893440,19728,1
1893441,19728,1
1893441,25341,2
1893442,21726,1
1893443,18079,1
1893444,21725,1
1893445,25355,1
1893446,22918,1
1893447,14118,2
1893447,21724,4
1893447,21725,1
1893447,23210,5
1893447,23226,3
1893448,25357,1
1893449,18079,1
1893449,19720,2
1893449,23219,3
1893450,25354,1
1893451,23226,1
1893452,22932,2
1893452,25355,1
1893452,25359,3
1893453,23226,1
1893453,25341,2
1893454,25353,1
1893455,16308,1
1893456,19728,1
1893457,21726,1
1893458,1603,3
1893458,19728,1
1893458,23221,2
1893459,21374,1
1893460,21374,1
1893461,16308,1
1893462,21374,1
1893463,23231,1
1893464,23226,1
1893465,16304,2
1893465,16308,8
1893465,18063,4
1893465,18075,7
1893465,21440,6
1893465,21725,5
1893465,21728,1
1893465,23227,3
1893466,1507,4
1893466,16304,2
1893466,18068,12
1893466,18070,9
1893466,19726,5
1893466,19727,6
1893466,19728,10
1893466,21725,1
1893466,21726,7
1893466,23226,3
1893466,23230,8
1893466,23231,11
1894268,18068,2
1894268,19658,1
1894276,18068,2
1894276,19658,1
1894283,18068,2
1894283,19658,1
1894290,25334,1
1894442,14116,16
1894442,16288,9
1894442,18075,13
1894442,19717,5
1894442,19720,19
1894442,21719,12
1894442,22932,6
1894442,23099,8
1894442,23137,10
1894442,23152,4
1894442,23203,3
1894442,23212,7
1894442,23215,1
1894442,23217,18
1894442,23219,20
1894442,23220,23
1894442,23223,25
1894442,25331,2
1894442,25338,14
1894442,25340,11
1894442,25343,17
1894442,25346,15
1894442,25348,21
1894442,25350,22
1894442,25351,24
1894443,14116,6
1894443,18067,1
1894443,18079,2
1894443,19717,3
1894443,22948,4
1894443,23213,5
1894444,25352,1
1894445,19728,1
1894446,18064,9
1894446,18079,3
1894446,19727,6
1894446,19728,2
1894446,21374,5
1894446,21725,4
1894446,23228,7
1894446,23230,1
1894446,23231,10
1894446,25356,8
1894446,25357,11
1894447,19728,1
1894448,19728,1
1894449,22918,1
1894450,18068,2
1894450,19459,5
1894450,19733,3
1894450,22918,4
1894450,23204,6
1894450,23231,1
1894451,18068,2
1894451,22918,5
1894451,23219,4
1894451,23231,1
1894451,25339,3
1894656,19716,1
1894656,25356,2
1894816,16287,2
1894816,23207,1
1894816,25333,3
1894817,16304,1
1894817,18070,7
1894817,18079,2
1894817,19728,3
1894817,21719,6
1894817,21724,4
1894817,23227,5
1894817,25355,8
1894818,19728,1
1894819,19728,1
1894820,21728,1
1895841,22654,1
1896226,18067,1
1896227,16293,1
1896624,23210,1
1896625,23210,1
1896626,14116,52
1896626,14118,60
1896626,16287,34
1896626,16288,36
1896626,16291,42
1896626,16293,46
1896626,18065,1
1896626,18066,24
1896626,18067,7
1896626,18069,31
1896626,18073,14
1896626,18078,15
1896626,19459,10
1896626,19658,33
1896626,19716,12
1896626,19717,16
1896626,19719,59
1896626,19720,61
1896626,19721,63
1896626,19728,5
1896626,21717,13
1896626,21723,75
1896626,21725,3
1896626,22654,19
1896626,22932,18
1896626,22948,17
1896626,23099,32
1896626,23128,76
1896626,23137,38
1896626,23155,50
1896626,23202,6
1896626,23203,9
1896626,23204,11
1896626,23205,25
1896626,23206,27
1896626,23207,30
1896626,23208,40
1896626,23209,41
1896626,23210,43
1896626,23211,57
1896626,23212,21
1896626,23213,47
1896626,23214,53
1896626,23215,54
1896626,23216,55
1896626,23217,58
1896626,23218,65
1896626,23219,66
1896626,23220,70
1896626,23221,4
1896626,23222,2
1896626,23223,73
1896626,23224,77
1896626,23906,74
1896626,25331,8
1896626,25332,20
1896626,25333,22
1896626,25334,26
1896626,25335,78
1896626,25336,35
1896626,25337,44
1896626,25338,49
1896626,25339,37
1896626,25340,39
1896626,25341,45
1896626,25342,48
1896626,25343,56
1896626,25344,62
1896626,25345,23
1896626,25346,51
1896626,25347,64
1896626,25348,67
1896626,25349,68
1896626,25350,69
1896626,25351,71
1896626,25352,72
1896626,25359,28
1896626,26421,29
1896627,14116,48
1896627,14118,57
1896627,16287,33
1896627,16288,4
1896627,16293,42
1896627,18065,40
1896627,18066,24
1896627,18067,13
1896627,18069,30
1896627,18078,18
1896627,19459,16
1896627,19658,32
1896627,19716,17
1896627,19717,19
1896627,19719,56
1896627,19721,58
1896627,19723,70
1896627,21718,26
1896627,21719,43
1896627,21723,69
1896627,22654,20
1896627,22918,12
1896627,22932,2
1896627,22948,1
1896627,23099,31
1896627,23128,9
1896627,23137,36
1896627,23155,6
1896627,23203,15
1896627,23205,25
1896627,23206,28
1896627,23207,29
1896627,23208,37
1896627,23209,38
1896627,23210,5
1896627,23211,54
1896627,23212,21
1896627,23213,44
1896627,23214,50
1896627,23215,51
1896627,23216,52
1896627,23217,55
1896627,23218,60
1896627,23219,61
1896627,23220,63
1896627,23221,49
1896627,23222,65
1896627,23223,67
1896627,23230,11
1896627,23906,68
1896627,25331,14
1896627,25333,22
1896627,25334,27
1896627,25335,71
1896627,25336,34
1896627,25337,39
1896627,25338,46
1896627,25339,35
1896627,25341,41
1896627,25342,45
1896627,25343,53
1896627,25344,7
1896627,25345,23
1896627,25346,47
1896627,25347,59
1896627,25349,8
1896627,25350,62
1896627,25351,64
1896627,25352,66
1896627,25357,10
1896627,25359,3
1896628,23227,1
1896628,23229,2
1896629,19728,1
1896630,19728,1
1896849,23215,1
1896850,14116,39
1896850,14118,47
1896850,16287,23
1896850,16288,25
1896850,16293,33
1896850,18065,32
1896850,18066,17
1896850,18067,3
1896850,18073,11
1896850,18078,12
1896850,19459,7
1896850,19716,9
1896850,19717,13
1896850,19719,46
1896850,19720,48
1896850,19721,50
1896850,19723,61
1896850,21717,10
1896850,21718,19
1896850,21723,60
1896850,22948,14
1896850,23099,22
1896850,23128,62
1896850,23137,27
1896850,23152,6
1896850,23155,37
1896850,23202,2
1896850,23203,5
1896850,23204,8
1896850,23205,18
1896850,23207,21
1896850,23208,28
1896850,23209,29
1896850,23210,30
1896850,23211,45
1896850,23212,15
1896850,23213,34
1896850,23214,41
1896850,23215,42
1896850,23216,43
1896850,23219,52
1896850,23220,55
1896850,23221,40
1896850,23222,57
1896850,23223,59
1896850,23906,1
1896850,25331,4
1896850,25333,16
1896850,25334,20
1896850,25335,63
1896850,25336,24
1896850,25337,31
1896850,25338,36
1896850,25339,26
1896850,25342,35
1896850,25343,44
1896850,25344,49
1896850,25346,38
1896850,25347,51
1896850,25349,53
1896850,25350,54
1896850,25351,56
1896850,25352,58
1897055,22654,1
1897056,23152,1
1897057,14116,44
1897057,14118,51
1897057,16288,29
1897057,16291,35
1897057,18065,38
1897057,18066,19
1897057,18067,4
1897057,18069,25
1897057,18073,10
1897057,18078,11
1897057,19459,7
1897057,19658,27
1897057,19716,8
1897057,19717,12
1897057,19719,50
1897057,19720,52
1897057,19721,54
1897057,19723,68
1897057,21717,9
1897057,21718,21
1897057,21719,39
1897057,21723,67
1897057,22654,15
1897057,22932,14
1897057,22948,13
1897057,23099,26
1897057,23128,69
1897057,23137,31
1897057,23152,6
1897057,23155,42
1897057,23202,3
1897057,23205,20
1897057,23206,23
1897057,23208,33
1897057,23209,34
1897057,23210,36
1897057,23212,17
1897057,23214,46
1897057,23215,47
1897057,23216,48
1897057,23217,1
1897057,23218,56
1897057,23219,57
1897057,23220,61
1897057,23221,45
1897057,23222,63
1897057,23223,65
1897057,23224,70
1897057,23906,66
1897057,25331,5
1897057,25332,16
1897057,25334,22
1897057,25335,71
1897057,25336,28
1897057,25337,37
1897057,25338,41
1897057,25339,30
1897057,25340,32
1897057,25341,2
1897057,25342,40
1897057,25343,49
1897057,25344,53
1897057,25345,18
1897057,25346,43
1897057,25347,55
1897057,25348,58
1897057,25349,59
1897057,25350,60
1897057,25351,62
1897057,25352,64
1897057,25359,24
1897058,1507,2
1897058,14116,4
1897058,18064,5
1897058,19726,3
1897058,19733,12
1897058,21374,1
1897058,21725,8
1897058,22948,7
1897058,23214,10
1897058,25338,9
1897058,25350,13
1897058,25353,6
1897058,25356,11
1897059,11611,1
1897059,25352,2
1897060,23226,1
1897061,16304,2
1897061,18068,1
1897061,18070,4
1897061,19728,5
1897061,25354,3
1897215,18067,1
1897216,14118,53
1897216,16287,27
1897216,16288,29
1897216,16291,35
1897216,16293,39
1897216,18063,1
1897216,18065,37
1897216,18066,19
1897216,18067,3
1897216,18073,10
1897216,18078,11
1897216,19459,7
1897216,19658,26
1897216,19716,8
1897216,19717,12
1897216,19719,52
1897216,19720,54
1897216,19721,56
1897216,19723,70
1897216,21717,9
1897216,21718,21
1897216,21723,69
1897216,22932,14
1897216,22948,13
1897216,23099,25
1897216,23128,71
1897216,23137,31
1897216,23152,6
1897216,23155,43
1897216,23202,2
1897216,23203,5
1897216,23205,20
1897216,23206,23
1897216,23208,33
1897216,23209,34
1897216,23210,36
1897216,23211,50
1897216,23212,16
1897216,23213,40
1897216,23214,46
1897216,23215,47
1897216,23216,48
1897216,23217,51
1897216,23218,58
1897216,23219,59
1897216,23220,63
1897216,23221,45
1897216,23222,65
1897216,23223,67
1897216,23224,72
1897216,23906,68
1897216,25331,4
1897216,25332,15
1897216,25333,17
1897216,25334,22
1897216,25335,73
1897216,25336,28
1897216,25338,42
1897216,25339,30
1897216,25340,32
1897216,25341,38
1897216,25342,41
1897216,25343,49
1897216,25344,55
1897216,25345,18
1897216,25346,44
1897216,25347,57
1897216,25348,60
1897216,25349,61
1897216,25350,62
1897216,25351,64
1897216,25352,66
1897216,25359,24
1897437,18066,1
1897438,19459,1
1897439,1551,1
1897439,16221,4
1897439,18063,2
1897439,23222,5
1897439,25336,3
1897440,1551,1
1897818,18067,1
1897819,16287,6
1897819,16288,7
1897819,16293,9
1897819,18063,4
1897819,18066,3
1897819,21718,5
1897819,23128,11
1897819,23203,2
1897819,23222,1
1897819,25337,8
1897819,25352,10
1897820,16288,7
1897820,22918,3
1897820,22932,5
1897820,22948,4
1897820,23128,12
1897820,23155,9
1897820,23210,8
1897820,23230,2
1897820,25344,10
1897820,25349,11
1897820,25357,1
1897820,25359,6
1898368,18068,12
1898368,18079,4
1898368,21374,6
1898368,21723,1
1898368,21726,9
1898368,23210,7
1898368,23224,13
1898368,25336,5
1898368,25338,10
1898368,25341,8
1898368,25347,11
1898368,25353,2
1898368,25354,3
1898369,23215,1
1898370,14116,1
1898371,23207,1
1898372,14116,43
1898372,14118,3
1898372,16288,29
1898372,16291,34
1898372,16293,39
1898372,18065,37
1898372,18066,20
1898372,18067,5
1898372,18069,26
1898372,18073,11
1898372,18078,12
1898372,19459,8
1898372,19716,9
1898372,19717,13
1898372,19719,51
1898372,19721,53
1898372,19723,67
1898372,19726,2
1898372,21717,10
1898372,21718,22
1898372,21719,40
1898372,21723,66
1898372,22654,16
1898372,22932,15
1898372,22948,14
1898372,23099,27
1898372,23128,68
1898372,23137,31
1898372,23152,7
1898372,23155,42
1898372,23202,4
1898372,23205,21
1898372,23206,24
1898372,23207,25
1898372,23208,32
1898372,23209,33
1898372,23210,35
1898372,23211,49
1898372,23212,17
1898372,23213,41
1898372,23214,45
1898372,23215,46
1898372,23216,47
1898372,23217,50
1898372,23218,55
1898372,23219,56
1898372,23220,60
1898372,23221,44
1898372,23222,62
1898372,23223,64
1898372,23224,69
1898372,23906,65
1898372,25331,6
1898372,25333,18
1898372,25334,23
1898372,25335,70
1898372,25336,28
1898372,25337,36
1898372,25338,1
1898372,25339,30
1898372,25341,38
1898372,25343,48
1898372,25344,52
1898372,25345,19
1898372,25347,54
1898372,25348,57
1898372,25349,58
1898372,25350,59
1898372,25351,61
1898372,25352,63
1898373,25356,1
1903331,19717,1
1903332,19717,1
1903333,16288,6
1903333,18063,4
1903333,21718,5
1903333,21720,2
1903333,23128,9
1903333,23203,3
1903333,23218,8
1903333,23222,1
1903333,25337,7
1903334,23218,1
1903335,23210,1
1903336,19728,7
1903336,22918,8
1903336,23219,5
1903336,25332,2
1903336,25338,3
1903336,25340,1
1903336,25348,6
1903336,25356,4
1903337,16287,1
1903338,14116,45
1903338,16287,26
1903338,16288,28
1903338,16291,34
1903338,16293,39
1903338,18065,37
1903338,18066,18
1903338,18067,3
1903338,18069,23
1903338,18073,10
1903338,18078,11
1903338,19459,7
1903338,19658,25
1903338,19717,12
1903338,19720,51
1903338,19721,53
1903338,19723,64
1903338,21717,9
1903338,21718,19
1903338,22948,13
1903338,23099,24
1903338,23128,65
1903338,23137,30
1903338,23152,6
1903338,23155,43
1903338,23202,2
1903338,23203,5
1903338,23204,8
1903338,23206,21
1903338,23207,22
1903338,23208,32
1903338,23209,33
1903338,23210,35
1903338,23212,15
1903338,23213,40
1903338,23214,47
1903338,23215,48
1903338,23217,50
1903338,23218,55
1903338,23219,56
1903338,23221,46
1903338,23222,1
1903338,23223,62
1903338,23224,66
1903338,23906,63
1903338,25331,4
1903338,25332,14
1903338,25333,16
1903338,25334,20
1903338,25335,67
1903338,25336,27
1903338,25337,36
1903338,25338,42
1903338,25339,29
1903338,25340,31
1903338,25341,38
1903338,25342,41
1903338,25343,49
1903338,25344,52
1903338,25345,17
1903338,25346,44
1903338,25347,54
1903338,25348,57
1903338,25349,58
1903338,25350,59
1903338,25351,60
1903338,25352,61
1903339,22918,1
1904793,23216,1
1904794,21717,1
1904795,23099,1
1904796,23210,1
1904797,16293,1
1904798,23210,1
1904799,14116,44
1904799,14118,53
1904799,16287,25
1904799,16288,27
1904799,16291,33
1904799,18065,36
1904799,18069,22
1904799,18073,7
1904799,18078,8
1904799,19459,4
1904799,19658,24
1904799,19717,9
1904799,19719,52
1904799,19720,54
1904799,19721,56
1904799,19723,69
1904799,21717,6
1904799,21718,18
1904799,21719,38
1904799,21723,68
1904799,22654,12
1904799,22932,11
1904799,22948,10
1904799,23099,23
1904799,23128,70
1904799,23137,29
1904799,23155,42
1904799,23202,2
1904799,23203,3
1904799,23204,5
1904799,23205,17
1904799,23206,19
1904799,23207,21
1904799,23208,31
1904799,23209,32
1904799,23210,34
1904799,23211,50
1904799,23212,14
1904799,23213,39
1904799,23214,46
1904799,23215,47
1904799,23216,48
1904799,23217,51
1904799,23219,58
1904799,23220,62
1904799,23221,45
1904799,23222,64
1904799,23223,66
1904799,23224,71
1904799,23906,67
1904799,25331,1
1904799,25332,13
1904799,25333,15
1904799,25335,72
1904799,25336,26
1904799,25337,35
1904799,25338,41
1904799,25339,28
1904799,25340,30
1904799,25341,37
1904799,25342,40
1904799,25343,49
1904799,25344,55
1904799,25345,16
1904799,25346,43
1904799,25347,57
1904799,25348,59
1904799,25349,60
1904799,25350,61
1904799,25351,63
1904799,25352,65
1904799,25359,20
1904800,18068,1
1904801,19728,1
1904802,19728,1
1904802,23203,2
1904803,1551,8
1904803,16293,7
1904803,21440,4
1904803,21720,1
1904803,21728,9
1904803,23203,2
1904803,23225,3
1904803,23906,10
1904803,25337,6
1904803,25339,5
1904804,21374,1
1908085,19658,1
1908086,19658,1
1908087,19658,1
1908088,19658,1
1908089,19658,1
1908090,19658,1
1908091,19658,1
1908092,19658,1
1908093,19658,1
1908094,19658,1
1908095,19658,1
1908096,19658,1
1908097,19658,1
1908098,19658,1
1908099,19658,1
1908100,19658,1
1908101,19658,1
1908102,19658,1
1908103,19658,1
1908104,19658,1
1908105,19658,1
1908106,19658,1
1908107,19658,1
1908108,19658,1
1908109,19658,1
1908110,19658,1
1908111,19658,1
1908112,19658,1
1908113,19658,1
1908114,19658,1
1908115,19658,1
1908116,19658,1
1908117,19658,1
1908118,19658,1
1908119,19658,1
1908120,19658,1
1908121,19658,1
1908122,19658,1
1908123,19658,1
1908124,19658,1
1908125,19658,1
1908126,19658,1
1908127,19658,1
1908128,19658,1
1908129,19658,1
1908130,19658,1
1908131,19658,1
1908132,19658,1
1908133,19658,1
1908134,19658,1
1908135,19658,1
1908136,19658,1
1908137,19658,1
1908138,19658,1
1908139,19658,1
1908140,19658,1
1908141,19658,1
1908142,19658,1
1908143,19658,1
1908144,19658,1
1908145,19658,1
1908146,19658,1
1908147,19658,1
1908148,19658,1
1908149,19658,1
1908150,19658,1
1908151,19658,1
1908152,19658,1
1908153,19658,1
1908154,19658,1
1908155,19658,1
1908156,19658,1
1908157,19658,1
1908158,19658,1
1908159,19658,1
1908160,19658,1
1908161,19658,1
1908162,19658,1
1908163,19658,1
1908164,19658,1
1908165,19658,1
1908166,19658,1
1908167,19658,1
1908168,19658,1
1908169,19658,1
1908170,19658,1
1908171,19658,1
1908172,19658,1
1908173,19658,1
1908174,19658,1
1908175,19658,1
1908176,19658,1
1908177,19658,1
1908178,19658,1
1908179,19658,1
1908180,19658,1
1908181,19658,1
1908182,19658,1
1908183,19658,1
1908184,19658,1
1908185,19658,1
1908186,19658,1
1908187,19658,1
1908188,19658,1
1908189,19658,1
1908190,19658,1
1908191,19658,1
1908192,19658,1
1908193,19658,1
1908194,19658,1
1908195,19658,1
1908196,19658,1
1908197,19658,1
1908198,19658,1
1908199,19658,1
1908200,19658,1
1908201,19658,1
1908202,19658,1
1908203,19658,1
1908204,19658,1
1908205,23210,1
1908206,19720,1
1908207,19716,1
1908208,23222,1
1908209,14116,8
1908209,14118,57
1908209,16287,37
1908209,16288,39
1908209,16291,44
1908209,16293,46
1908209,18065,6
1908209,18066,28
1908209,18067,13
1908209,18069,35
1908209,18073,20
1908209,18078,21
1908209,19459,17
1908209,19658,36
1908209,19716,18
1908209,19717,22
1908209,19719,56
1908209,19720,58
1908209,19721,60
1908209,19723,73
1908209,21717,19
1908209,21718,30
1908209,21719,7
1908209,21723,72
1908209,22932,24
1908209,22948,23
1908209,23099,1
1908209,23128,74
1908209,23137,41
1908209,23152,16
1908209,23155,50
1908209,23202,12
1908209,23203,15
1908209,23204,2
1908209,23205,29
1908209,23206,32
1908209,23207,34
1908209,23208,42
1908209,23209,43
1908209,23211,55
1908209,23212,25
1908209,23213,47
1908209,23214,52
1908209,23215,53
1908209,23216,54
1908209,23219,62
1908209,23220,66
1908209,23221,9
1908209,23222,68
1908209,23223,70
1908209,23224,75
1908209,23231,11
1908209,23906,71
1908209,25331,14
1908209,25332,4
1908209,25333,26
1908209,25334,31
1908209,25335,76
1908209,25336,38
1908209,25338,49
1908209,25339,40
1908209,25340,5
1908209,25341,45
1908209,25342,48
1908209,25343,10
1908209,25344,59
1908209,25345,27
1908209,25346,51
1908209,25347,61
1908209,25348,63
1908209,25349,64
1908209,25350,65
1908209,25351,67
1908209,25352,69
1908209,25354,3
1908209,25359,33
1908210,18070,3
1908210,23229,1
1908210,25355,2
1908211,23229,1
1908212,18068,1
1908212,18079,3
1908212,21719,6
1908212,21723,11
1908212,21726,5
1908212,23210,4
1908212,23224,12
1908212,23229,8
1908212,25338,7
1908212,25350,10
1908212,25354,2
1908212,25356,9
1908213,21720,1
1908214,18068,2
1908214,19658,1
1909884,23215,1
1909885,22948,1
1909886,22948,1
1909887,16291,5
1909887,18073,10
1909887,22654,2
1909887,22932,3
1909887,23152,1
1909887,23202,9
1909887,23205,11
1909887,23214,13
1909887,23217,14
1909887,23219,6
1909887,23224,8
1909887,25340,4
1909887,25344,15
1909887,25348,7
1909887,25349,16
1909887,25351,17
1909887,25359,12
1909888,14118,2
1909888,25332,1
1909889,21725,1
1909890,23228,1
